experiment,task_trained,mnist,time_taken,cifar10,svhn
Baseline (Adam),mnist,99.075,118.76799321174622,,
Baseline (Adam),cifar10,7.6883333333333335,105.12272500991821,63.93,
Baseline (Adam),svhn,65.31333333333333,151.9670536518097,14.05,87.44622003687769
MirrorMind (Emotional LR),mnist,97.41833333333334,252.60213494300842,,
MirrorMind (Emotional LR),cifar10,96.69333333333333,229.94190001487732,47.53,
MirrorMind (Emotional LR),svhn,94.10833333333333,328.6519649028778,29.46,82.68669330055316
