model_name,task_id,step,loss,accuracy,emotion,emotion_entropy,surprise,uncertainty
resnet18,0,0,2.7264764308929443,0.0,anxious,0.0,2.6181796000524495,0.6981708407402039
resnet18,0,1,2.8892815113067627,0.0,anxious,0.0,2.662479666097801,0.7575821876525879
resnet18,0,2,2.349184036254883,0.0,anxious,0.0,2.09650904623206,0.7180474400520325
resnet18,0,3,2.5641660690307617,0.0,anxious,0.0,2.226219127757471,0.7443110346794128
resnet18,0,4,2.4668545722961426,0.0,anxious,0.0,2.080885387791167,0.7526941895484924
resnet18,0,5,2.5400094985961914,0.0,anxious,0.0,2.08812645695816,0.7744560241699219
resnet18,0,6,2.509812831878662,0.0,anxious,0.0,2.009546300882951,0.7406134009361267
resnet18,0,7,2.4668781757354736,0.0,anxious,0.0,1.9259594965691593,0.6974368095397949
resnet18,0,8,2.5465574264526367,0.0,anxious,0.0,1.9456919842508253,0.74008709192276
resnet18,0,9,2.6640396118164062,0.0,anxious,0.0,1.9929577987255986,0.7355579137802124
resnet18,0,10,2.342426061630249,0.0,anxious,0.0,1.6943796826945348,0.7544163465499878
resnet18,0,11,2.558333158493042,0.0,anxious,0.0,1.8298285155712375,0.7686933875083923
resnet18,0,12,2.395639181137085,0.0,anxious,0.0,1.6664546511125788,0.6923174858093262
resnet18,0,13,2.373243570327759,0.0,anxious,0.0,1.6186591322889465,0.7221696376800537
resnet18,0,14,2.468888759613037,0.0,anxious,0.0,1.6625244348424457,0.7020053267478943
resnet18,0,15,2.573706865310669,0.0,anxious,0.0,1.7105411454357822,0.7091126441955566
resnet18,0,16,2.566004514694214,0.0,anxious,0.0,1.6721264613019013,0.7443128824234009
resnet18,0,17,2.5818984508514404,0.0,anxious,0.0,1.6528837718088076,0.7140794992446899
resnet18,0,18,2.353680372238159,0.0,anxious,0.0,1.4554244764596171,0.7636705636978149
resnet18,0,19,2.4957118034362793,0.0,anxious,0.0,1.5370177486200005,0.7151045799255371
resnet18,0,20,2.4087960720062256,0.0,anxious,0.0,1.4486178257179738,0.7234865427017212
resnet18,0,21,2.5091023445129395,0.0,anxious,0.0,1.499108785428063,0.695649266242981
resnet18,0,22,2.373396873474121,0.0,anxious,0.0,1.3776572178074409,0.7157325148582458
resnet18,0,23,2.4641683101654053,0.0,anxious,0.0,1.4231506701488266,0.7420997023582458
resnet18,0,24,2.543221950531006,0.0,anxious,0.0,1.4583348211773208,0.7107909917831421
resnet18,0,25,2.4686105251312256,0.0,anxious,0.0,1.3831019819928416,0.7206080555915833
resnet18,0,26,2.537569522857666,0.0,anxious,0.0,1.4120177921619246,0.6987638473510742
resnet18,0,27,2.459613561630249,0.0,anxious,0.0,1.3364471200440249,0.7226009964942932
resnet18,0,28,2.3466458320617676,0.0,anxious,0.0,1.2387345062602106,0.7670596837997437
resnet18,0,29,2.34355092048645,0.0,anxious,0.0,1.2210944766480738,0.7347477078437805
resnet18,0,30,2.7859134674072266,0.0,anxious,0.0,1.5143967195497483,0.7449257969856262
resnet18,0,31,2.635624408721924,0.0,anxious,0.0,1.3862666469235203,0.716138482093811
resnet18,0,32,2.428330183029175,0.0,anxious,0.0,1.223135075747059,0.7403486371040344
resnet18,0,33,2.6733357906341553,0.0,anxious,0.0,1.3769845299567602,0.7572524547576904
resnet18,0,34,2.537299394607544,0.0,anxious,0.0,1.2641154235673033,0.7599613666534424
resnet18,0,35,2.358517646789551,0.0,anxious,0.0,1.1251407390754642,0.6861140727996826
resnet18,0,36,2.4428865909576416,0.0,anxious,0.0,1.1705194797816234,0.7410408854484558
resnet18,0,37,2.5455398559570312,0.0,anxious,0.0,1.2271063191983853,0.7225556969642639
resnet18,0,38,2.514561653137207,0.0,anxious,0.0,1.1908098729111072,0.7658534646034241
resnet18,0,39,2.5228629112243652,0.0,anxious,0.0,1.1822696152061916,0.7301387786865234
resnet18,0,40,2.644746780395508,0.0,anxious,0.0,1.2511158157228417,0.7264755368232727
resnet18,0,41,2.475131034851074,0.0,anxious,0.0,1.120242262356071,0.704465389251709
resnet18,0,42,2.4783480167388916,0.0,anxious,0.0,1.1099516696555782,0.7509998679161072
resnet18,0,43,2.482787609100342,0.0,anxious,0.0,1.100726649214867,0.6789707541465759
resnet18,0,44,2.613971710205078,0.0,anxious,0.0,1.1775209392683155,0.7359285354614258
resnet18,0,45,2.5414459705352783,0.0,anxious,0.0,1.1146594098942404,0.7182167172431946
resnet18,0,46,2.7125980854034424,0.0,anxious,0.0,1.2177191394944271,0.7367584705352783
resnet18,0,47,2.5021815299987793,0.0,anxious,0.0,1.0611467620421131,0.7431772351264954
resnet18,0,48,2.511662006378174,0.0,anxious,0.0,1.0563873498624206,0.7075505256652832
resnet18,0,49,2.706620693206787,0.0,anxious,0.0,1.17653198494552,0.7348231673240662
resnet18,0,50,2.425154209136963,0.0,anxious,0.0,0.9733849513766948,0.7656384706497192
resnet18,0,51,2.414383888244629,0.0,anxious,0.0,0.956724949554459,0.75905442237854
resnet18,0,52,2.627584218978882,0.0,anxious,0.0,1.0913635537546114,0.6793076395988464
resnet18,0,53,2.5468533039093018,0.0,anxious,0.0,1.0252336151612773,0.7181994915008545
resnet18,0,54,2.5975399017333984,0.0,anxious,0.0,1.0489418670118045,0.730995237827301
resnet18,0,55,2.5935027599334717,0.0,anxious,0.0,1.0353303518047756,0.7229622006416321
resnet18,0,56,2.4122629165649414,0.0,anxious,0.0,0.9025941839712066,0.7343469858169556
resnet18,0,57,2.4428234100341797,0.0,anxious,0.0,0.9151164215564673,0.6902008652687073
resnet18,0,58,2.2455670833587646,0.0,anxious,0.0,0.7731791624539035,0.7131279706954956
resnet18,0,59,2.617849111557007,0.0,anxious,0.0,1.0193233643136796,0.7536152005195618
resnet18,0,60,2.4781293869018555,0.0,anxious,0.0,0.9145470341044447,0.7436562180519104
resnet18,0,61,2.526397705078125,0.0,anxious,0.0,0.9389257245340801,0.6986482739448547
resnet18,0,62,2.4347410202026367,0.0,anxious,0.0,0.8679844283056567,0.7373825907707214
resnet18,0,63,2.417888879776001,0.0,anxious,0.0,0.848969627309755,0.7276825904846191
resnet18,0,64,2.5250182151794434,0.0,anxious,0.0,0.9146323180148269,0.7559670209884644
resnet18,0,65,2.8526854515075684,0.0,anxious,0.0,1.128604650124943,0.7202948927879333
resnet18,0,66,2.378288745880127,0.0,anxious,0.0,0.793951678214007,0.7596440315246582
resnet18,0,67,2.6992409229278564,0.0,anxious,0.0,1.0061327982729924,0.7382710576057434
resnet18,0,68,2.37583065032959,0.0,anxious,0.0,0.7757711559493318,0.7605635523796082
resnet18,0,69,2.583242893218994,0.0,anxious,0.0,0.9113605076825942,0.7413683533668518
resnet18,0,70,2.626878499984741,0.0,anxious,0.0,0.9328768866831423,0.6975998282432556
resnet18,0,71,2.526376724243164,0.0,anxious,0.0,0.8555181912270806,0.7043667435646057
resnet18,0,72,2.4142580032348633,0.0,anxious,0.0,0.7712488833698582,0.7666313648223877
resnet18,0,73,2.5772042274475098,0.0,anxious,0.0,0.8771108867492621,0.7579967975616455
resnet18,0,74,2.5880889892578125,0.0,anxious,0.0,0.87688867746279,0.6857874989509583
resnet18,0,75,2.531083106994629,0.0,anxious,0.0,0.8299526864302236,0.6902872323989868
resnet18,0,76,2.5614519119262695,0.0,anxious,0.0,0.8439361239043982,0.6966440677642822
resnet18,0,77,2.5497536659240723,0.0,anxious,0.0,0.8286809908326634,0.7068902850151062
resnet18,0,78,2.3291637897491455,0.0,anxious,0.0,0.6688222361322264,0.733472466468811
resnet18,0,79,2.619410991668701,0.0,anxious,0.0,0.8656714852565193,0.720996081829071
resnet18,0,80,2.4244160652160645,0.0,anxious,0.0,0.7225738679748178,0.7117331027984619
resnet18,0,81,2.3749208450317383,0.0,anxious,0.0,0.6825326943331245,0.7126203179359436
resnet18,0,82,2.593672513961792,0.0,anxious,0.0,0.8305558616871026,0.7529735565185547
resnet18,0,83,2.555339813232422,0.0,anxious,0.0,0.796766339246317,0.7330143451690674
resnet18,0,84,2.6398091316223145,0.0,anxious,0.0,0.8494850671945782,0.7272997498512268
resnet18,0,85,2.3124966621398926,0.0,anxious,0.0,0.6120532203639408,0.7318960428237915
resnet18,0,86,2.8290493488311768,0.0,anxious,0.0,0.9716920398928643,0.7408164739608765
resnet18,0,87,2.433858871459961,0.0,anxious,0.0,0.6841109942567022,0.7224182486534119
resnet18,0,88,2.5136706829071045,0.0,anxious,0.0,0.7356069436878262,0.7100008130073547
resnet18,0,89,2.442272424697876,0.0,anxious,0.0,0.679306248860002,0.727989912033081
resnet18,0,90,2.4940595626831055,0.0,anxious,0.0,0.7112172913947168,0.7018343210220337
resnet18,0,91,2.3189799785614014,0.0,anxious,0.0,0.5808575917267983,0.7711517214775085
resnet18,0,92,2.203540086746216,0.0,anxious,0.0,0.4941094068896484,0.7286669611930847
resnet18,0,93,2.6471948623657227,0.0,anxious,0.0,0.8100562444494016,0.7402640581130981
resnet18,0,94,2.3451719284057617,0.0,anxious,0.0,0.586019046907919,0.7086939215660095
resnet18,0,95,2.5439505577087402,0.0,anxious,0.0,0.7257551008219569,0.7109257578849792
resnet18,0,96,2.6328482627868652,0.0,anxious,0.0,0.7845108060047054,0.7201560139656067
resnet18,0,97,2.447173833847046,0.0,anxious,0.0,0.6435957843818502,0.7355861067771912
resnet18,0,98,2.6550681591033936,0.0,anxious,0.0,0.7902179321126167,0.7318308353424072
resnet18,0,99,2.80673885345459,0.0,anxious,0.0,0.8940045316223763,0.7665101289749146
resnet18,0,100,2.69033145904541,0.0,anxious,0.0,0.8013958481086745,0.71934574842453
resnet18,0,101,2.4974911212921143,0.0,anxious,0.0,0.6540117611420458,0.7023608684539795
resnet18,0,102,2.5755927562713623,0.0,anxious,0.0,0.7066249420880069,0.7282369136810303
resnet18,0,103,2.462815761566162,0.0,anxious,0.0,0.6184237030989027,0.7399585843086243
resnet18,0,104,2.480839967727661,0.0,anxious,0.0,0.6274673181724898,0.7057076692581177
resnet18,0,105,2.4823787212371826,0.0,anxious,0.0,0.624248195819384,0.7143878936767578
resnet18,0,106,2.4900267124176025,0.0,anxious,0.0,0.6256045304122615,0.7171575427055359
resnet18,0,107,2.4937493801116943,0.0,anxious,0.0,0.624039480370597,0.7432401180267334
resnet18,0,108,2.57003116607666,0.0,anxious,0.0,0.6766923725830608,0.6905174255371094
resnet18,0,109,2.6181530952453613,0.0,frustrated,0.0,0.7077895549831299,0.7269343733787537
resnet18,0,110,2.548509120941162,0.0,anxious,0.0,0.6502410127614451,0.7232092022895813
resnet18,0,111,2.3782849311828613,0.0,anxious,0.0,0.5172955399986818,0.745045006275177
resnet18,0,112,2.806379556655884,0.0,anxious,0.0,0.837350998508313,0.7891757488250732
resnet18,0,113,2.3856687545776367,0.0,anxious,0.0,0.5120151056138403,0.7360336184501648
resnet18,0,114,2.292046070098877,0.0,anxious,0.0,0.43744939468675337,0.6892375349998474
resnet18,0,115,2.4233670234680176,0.0,anxious,0.0,0.5352998611121139,0.7217184901237488
resnet18,0,116,2.691434383392334,0.0,anxious,0.0,0.7371345384837154,0.7797940373420715
resnet18,0,117,2.517233371734619,0.0,anxious,0.0,0.5978483955263737,0.7051004767417908
resnet18,0,118,2.48927640914917,0.0,anxious,0.0,0.5722537236821222,0.7467061877250671
resnet18,0,119,2.512040138244629,0.0,anxious,0.0,0.5860713013117295,0.7321485280990601
resnet18,0,120,2.4366660118103027,0.0,anxious,0.0,0.523628975954706,0.6969659924507141
resnet18,0,121,2.5605010986328125,0.0,anxious,0.0,0.6167618199532816,0.7263955473899841
resnet18,0,122,2.4193787574768066,0.0,anxious,0.0,0.5022246598600871,0.7418736219406128
resnet18,0,123,2.6908047199249268,0.0,anxious,0.0,0.7118273726425729,0.741571843624115
resnet18,0,124,2.4372739791870117,0.0,anxious,0.0,0.5072821732247486,0.7137423157691956
